email,PLZ,Kino,Ort,status,Latitude,Longitude
info@luru-kino.de,4179.0,Open-Air-Kino in der Spinnerei,Leipzig,active,51.32654,12.3164777
leipzig@cineplex.de,4209.0,Cineplex Leipzig,Leipzig,active,51.3196009,12.2896939
cmarx@landesfilmdienst-sachsen.de,4229.0,Filmclub KassaBlanka,Leipzig,active,51.3308053,12.3297047
info@cineding-leipzig.de,4229.0,Cineding,Leipzig,active,51.3308019,12.3297152
service@schaubuehne.com,4229.0,Schaubühne Lindenfels,Leipzig,active,51.3319513,12.3318602
susanneschoenberg@web.de,4229.0,Schauburg,Leipzig,active,51.320167,12.3259683
info@cinematheque-leipzig.de,4275.0,die naTo,Leipzig,active,51.3251134,12.3706733
buero@utconnewitz.de,4277.0,UT Connewitz,Leipzig,active,51.3088455,12.3699287
feedback@kinobar-leipzig.de,4277.0,Kinobar Prager Frühling,Leipzig,active,51.311012,12.3736677
impressum@kino-taucha.de,4425.0,CT Lichtspiele Taucha,Taucha,bounced,51.3787454,12.4893148
info@kulturkino-zwenkau.de,4442.0,KulturKino zwenkau,Zwenkau,active,51.2203903,12.3298897
kinogroitzsch@online.de,4539.0,Bürgerhauskino Groitzsch,Groitzsch,active,51.1565227,12.2777133
m.venohr@bofimax.de,4600.0,Capitol / Cinema / Regina Palast,Altenburg / Döbeln / Leipzig,active,50.9822222,12.4335307
m.venohr@bofimax.de,4600.0,Capitol / Cinema / Regina Palast,Altenburg / Döbeln / Leipzig,active,51.1210471,13.1132347
m.venohr@bofimax.de,4600.0,Capitol / Cinema / Regina Palast,Altenburg / Döbeln / Leipzig,active,51.33854,12.3989697
m.venohr@bofimax.de,4600.0,Capitol / Cinema / Regina Palast,Altenburg / Döbeln / Leipzig,active,50.9822222,12.4335307
m.venohr@bofimax.de,4600.0,Capitol / Cinema / Regina Palast,Altenburg / Döbeln / Leipzig,active,51.1210742,13.1112296
m.venohr@bofimax.de,4600.0,Capitol / Cinema / Regina Palast,Altenburg / Döbeln / Leipzig,active,51.3374938,12.3716529
m.venohr@bofimax.de,4600.0,Capitol / Cinema / Regina Palast,Altenburg / Döbeln / Leipzig,active,51.3390483,12.3989082
m.venohr@bofimax.de,4600.0,Capitol / Cinema / Regina Palast,Altenburg / Döbeln / Leipzig,active,51.3390483,12.3989082
m.venohr@bofimax.de,4600.0,Capitol / Cinema / Regina Palast,Altenburg / Döbeln / Leipzig,active,51.3390483,12.3989082
s.erfurth@bofimax.de,4600.0,Capitol,Altenburg,active,50.9822222,12.4335307
thomas-hildebrand@msn.com,4668.0,Central Theater Grimma,Grimma,active,51.2360206,12.7239165
info@bofimax.de,4720.0,CiD - Cinema in Döbeln,Döbeln,bounced,51.1210742,13.1112296
post@kap-torgau.de,4860.0,Sommernachtskino,Torgau,active,51.5574531,12.9967801
post@kulturbastion.de,4860.0,KAP-Kino in der Kulturbastion,Torgau,active,51.55476,13.0025496
info@kino-zazie.de,6108.0,Zazie,Halle an der Saale,active,51.4865,11.9638497
kulturbuero@halle.de,6108.0,Freilichtbühne Peißnitz,Halle an der Saale,active,51.4919185,11.945254
post@puschkino.de,6108.0,PUSCHKINo,Halle an der Saale,active,51.4917707,11.9649596
comcenter-halle@t-online.de,6110.0,BelEtage,Halle an der Saale,active,51.4750988,11.980539
post@luchskino.de,6114.0,Lux-Kino am Zoo,Halle an der Saale,active,51.5060037,11.9583174
luxkino@gmx.de,6118.0,Freiluftkino im Nordbad,Halle an der Saale,bounced,51.5060037,11.9583174
kontakt@lightcinemas.de,6122.0,the light cinema,Halle an der Saale,active,51.4793609,11.9179111
kino@domstadtkino-merseburg.de,6217.0,Domstadt Kino Merseburg,Merseburg,active,51.3560619,11.990287
novaeventis@uci-kinowelt.de,6237.0,UCI Nova Eventis (Saale Park),Leuna,active,51.3460792,12.1725112
cinecircus@web.de,6366.0,Cine Circus,Köthen,active,51.7516769,11.9790972
info@capitolbernburg.de,6406.0,Capitol Kino Bernburg,Bernburg,active,51.7936172,11.7425645
info@aschersleben-kino.de,6449.0,Filmpalast Aschersleben,Aschersleben,active,51.7561509,11.4543471
studiokino-eisenstein@gmx.de,6484.0,"Studiokino Eisenstein""""",Quedlinburg,active,51.79089,11.1479597
centraltheater@t-online.de,6502.0,Central-Theater,Thale,active,51.7458508,11.0293984
info@panorama-museum.de,6567.0,Stuki 76,Bad Frankenhausen,active,51.3622601,11.0535747
naumburg@cineplex.de,6618.0,Cineplex Naumburg,Naumburg an der Saale,active,51.1508942,11.8115815
kontakt@bruehl-cinema.de,6712.0,Brühl Cinema,Zeitz,active,51.1508942,11.8115815
buero@kiez-ev.de,6844.0,KIEZ-Kino,Dessau-Roßlau,active,51.83954,12.2440297
dessau@uci-kinowelt.de,6844.0,UCI Dessau,Dessau-Roßlau,active,51.8395148,12.2357485
info@kiez-kino.de,6844.0,Open Air am Landhaus Dessau,Dessau-Roßlau,active,51.8395129,12.2176756
kino@kiez-ev.de,6844.0,Open Air im Stadtpark,Dessau-Roßlau,bounced,51.8395129,12.2176756
schwabehaus@gmx.de,6844.0,Sommerkino im Schwabehaus,Dessau-Roßlau,active,51.838451,12.2396778
kino@centralkino-wittenberg.de,6886.0,Central-Theater,Lutherstadt Wittenberg,active,51.8697852,12.6507359
saalfeld@cineplex.de,7318.0,Cineplex Saalfeld,Saalfeld an der Saale,active,50.6488898,11.3565232
info@kinotechnik24.de,7356.0,Kino  1...,Bad Lobenstein,active,50.4503993,11.5606089
info@saalgaerten.de,7407.0,Sommerkino in den Bauernhäusern,Rudolstadt,active,50.7186963,11.332867
rudolstadt@cineplex.de,7407.0,Cineplex Rudolstadt,Rudolstadt,active,50.7183073,11.3326536
stadt-rudolstadt@rudolstadt.de,7407.0,Freiluftkino im Schillergarten,Rudolstadt,active,50.7211291,11.3324115
filmclub-comma@gmx.de,7545.0,Kino im COMMA...,Gera,active,50.8719374,12.0734358
gera@uci-kinowelt.de,7545.0,UCI Gera,Gera,active,50.8735104,12.080712
info@metropolkino-gera.de,7545.0,Metropol,Gera,active,50.8802822,12.0817843
info@holzlandkino.de,7639.0,Holzlandkino,Bad Klosterlausnitz,bounced,50.9133811,11.8630001
info@kinoammarkt.de,7743.0,Kino am Markt,Jena,active,50.9286589,11.5855607
jena@cinestar.de,7743.0,CineStar - Der Filmpalast,Jena,active,50.926618,11.583395
filmev@jenaonline.de,7749.0,Filmarena,Jena,active,50.9255005,11.5810371
info@schillerhof.org,7749.0,Kino im Schillerhof,Jena,active,50.931211,11.5963104
info@schleizer-kino.de,7907.0,Neues Kino im Hörsaal,Schleiz,active,50.581897,11.8096622
kinocenter@ut99.de,7973.0,UT 99,Greiz,active,50.6567098,12.1976879
kontakt@alter-gasometer.de,8056.0,Casablanca,Zwickau,active,50.723185,12.4976236
zwickau@filmpalast-kino.de,8056.0,Filmpalast Astoria Zwickau,Zwickau,active,50.723185,12.4976236
kontakt@kino-auerbach.de,8209.0,Rekord Lichtspiele,Auerbach im Vogtland,bounced,50.5032768,12.3964332
info@nickel-odeon.de,8280.0,Nickel-Odeon Kino-Center,Aue,active,50.5867429,12.708128
info@filmtheater-schneeberg.de,8289.0,Union Filmtheater,Schneeberg,bounced,50.5989731,12.6376724
info@ringkino-schwarzenberg.de,8340.0,Ring Kino,Schwarzenberg im Erzgebirge,active,50.5463142,12.7810082
info@clubkino-glauchau.de,8371.0,Clubkino Glauchau,Glauchau,active,50.8180744,12.5335178
autokinolangenhessen@web.de,8412.0,Autokino Langenhessen,Werdau,active,50.7674537,12.3486392
crimmitschau@cinestar.de,8451.0,CineStar - Der Filmpalast,Crimmitschau,active,50.8148796,12.3851723
neuberin@vogtland-kultur.de,8468.0,Neuberinhaus,Reichenbach,active,50.6224136,12.2983125
post@capitol-plauen.de,8523.0,Capitol,Plauen,active,50.4998799,12.1339508
chemnitzrt@cinestar.de,9111.0,CineStar - Der Filmpalast Am Roten Turm,Chemnitz,active,50.8338774,12.9183843
info@rothaus-chemnitz.de,9111.0,Rothaus e.V.,Chemnitz,active,50.8331485,12.9143379
ufer@weltecho.eu,9111.0,Open Air Kino im Hof...,Chemnitz,active,50.8284782,12.9177186
info@metropol-chemnitz.de,9112.0,Metropol,Chemnitz,active,50.8283755,12.9119617
wolff@metropol-chemnitz.de,9112.0,Metropol,Chemnitz,active,50.8283755,12.9119617
m54@gmx.net,9114.0,M54,Chemnitz,active,50.8607649,12.9203091
clubkino@gmx.de,9117.0,Clubkino Siegmar,Chemnitz,active,50.8153133,12.8363358
info@kinderfilmdienst.de,9119.0,Kinderfilmhaus,Chemnitz,active,50.8203209,12.8947506
kinderfilmdienst@t-online.de,9119.0,KINO - mobil,Chemnitz,active,50.820319,12.8766777
filmclub@tu-chemnitz.de,9126.0,Campusfilmnächte auf dem Sportplatz...,Chemnitz,active,50.8174958,12.9179602
info@kino-apollo.de,9212.0,Apollo,Limbach-Oberfrohna,active,50.8600374,12.7590002
ftcapitol@t-online.de,9337.0,Capitol-Filmtheater,Hohenstein-Ernstthal,bounced,50.8009862,12.7049989
kontakt@lichtkino.de,9350.0,Clubkino Capitol,Lichtenstein in Sachsen,active,50.7570708,12.62971
clubkinogelenau@t-online.de,9423.0,Clubkino Gelenau,Gelenau,active,50.7119062,12.9753821
shannara6274@aol.com,9456.0,Gloria,Annaberg-Buchholz,active,50.5788273,12.9995074
a-kino@gmx.de,9468.0,Autokino Greifensteine,Geyer,active,50.634908,12.9232567
kinomab@web.de,9496.0,Movie Kinocenter Marienberg,Marienberg,active,50.6516117,13.1630783
027@kinopolis.net,9599.0,Kinopolis Freiberg,Freiberg,active,50.9078071,13.3149797
info@z-bar.de,10115.0,,,deleted (unsubscribed),52.5318601,13.3627534
friess@dhm.de,10117.0,Zeughauskino,Berlin,active,52.5187801,13.3940103
info@russisches-haus.de,10117.0,Kino im Russ. Haus d. Wissenschaft & K.,Berlin,active,52.513402,13.3859228
buero@acudkino.de,10119.0,Acud Kino,Berlin,active,52.5333169,13.3984463
berlinalexanderplatz@cinestar.de,10178.0,CineStar - CUBIX Filmpalast,Berlin,active,52.520281,13.4093278
grossman@babylonberlin.de,10178.0,BABYLON,Berlin,active,52.5259378,13.4088432
info@hoefekino.de,10178.0,Hackesche Höfe Kino,Berlin,active,52.5240485,13.399646
info@humboldt-box.com,10178.0,Humbold-Box Berlin,Berlin,bounced,52.5178131,13.3978064
info@kino-central.de,10178.0,Central,Berlin,active,52.5202885,13.3911847
info@kikiblofeld.de,10179.0,Kiki Blofeld Open-Air,Berlin,bounced,52.5202579,13.3291691
mercedesplatz@uci-kinowelt.de,10243.0,UCI Luxe Mercedes Platz,Berlin,active,52.5202579,13.3291691
contact@freiluftkino-insel.de,10245.0,Freiluftkino Insel Cassiopeia,Berlin,active,52.4646069,13.4061881
here@b-ware.tv,10245.0,ladenKino,Berlin,active,52.5118576,13.4590678
kino-intimes-berlin@web.de,10245.0,Intimes,Berlin,bounced,52.5129433,13.4556234
programm@freiluftkino-pompeji.de,10245.0,,,deleted (unsubscribed),52.5001406,13.4476144
programm@kino-zukunft.de,10245.0,,,deleted (unsubscribed),52.5001406,13.4476144
friedrichshain@pifflmedien.de,10249.0,Freiluftkino Friedrichshain,Berlin,active,52.5253163,13.4328239
programm@tilsiter-lichtspiele.de,10249.0,Tilsiter  1...,Berlin,active,52.520713,13.4447177
info@planetarium.berlin,10405.0,Kino im Planetarium,Berlin,active,52.5430158,13.4252587
info@lichtblick-kino.org,10435.0,Lichtblick,Berlin,active,52.5364864,13.4052435
kulturbrauerei@cinestar.de,10435.0,Kino in der Kulturbrauerei,Berlin,active,52.5387386,13.4112622
colosseum@uci-kinowelt.de,10437.0,UCI Colosseum,Berlin,bounced,52.5478454,13.4103058
info@dasfilmcafe.de,10437.0,Downstairs-Kino im Filmcafé,Berlin,bounced,52.5478436,13.3922328
kinokrokodil@email.de,10437.0,Kino Krokodil,Berlin,active,52.5478436,13.3922328
info@adk.de,10557.0,Akademie der Künste,Berlin,active,52.5523563,13.336925
info@filmrausch.de,10557.0,Filmrauschpalast...,Berlin,active,52.5523563,13.336925
info@hkw.de,10557.0,Haus der Kulturen der Welt,Berlin,active,52.5185185,13.3618846
mail@kinoundkonzerte.de,10585.0,Open Air im Schloss Charlottenburg,Berlin,bounced,52.5204669,13.2934923
info@delphi-filmpalast.de,10623.0,Delphi Filmpalast am Zoo,Berlin,active,52.5060324,13.3259293
info@zoopalast-berlin.de,10623.0,ZOO PALAST Berlin,Berlin,active,52.5058947,13.3316278
mail@filmkunst66.de,10623.0,filmkunst 66,Berlin,active,52.5044326,13.3171112
yorck@yorck.de,10627.0,Kant Kino,Berlin,active,52.5067832,13.3057464
info@eva-lichtspiele.de,10713.0,Eva-Lichtspiele,Berlin,active,52.4846919,13.317432
kino@bundesplatz-kino.de,10715.0,Bundesplatz Kino,Berlin,active,52.4790121,13.3267344
info@berlin.astor-filmlounge.de,10719.0,Astor Film Lounge,Berlin,active,52.5032544,13.3274305
info@cinema-paris.de,10719.0,Cinema Paris,Berlin,active,52.502042,13.3222067
info@cinemaxx.de,10785.0,CinemaxX Berlin,Berlin,active,52.5086287,13.3715006
mail@arsenal-berlin.de,10785.0,Arsenal,Berlin,active,52.5095474,13.3709894
kontakt@urania-berlin.de,10787.0,Urania,Berlin,active,52.501217,13.3452659
service@xenon-kino.de,10827.0,Xenon,Berlin,active,52.486288,13.3567427
tom@zyankali.de,10961.0,Zyankali Bar,Berlin,active,52.4915589,13.3903178
post@gropiusbau.de,10963.0,Martin-Gropius-Bau,Berlin,active,52.5070247,13.3792844
post@moviemento.de,10967.0,Moviemento Kino in Berlin,Berlin,active,52.4902918,13.4208071
post@sputnik-kino.com,10967.0,Sputnik-Kino,Berlin,active,52.4902918,13.4208071
info@mauermuseum.de,10969.0,Mauermuseum,Berlin,active,52.5073923,13.3880458
post@fsk-kino.de,10969.0,fsk - Kino am Oranienplatz,Berlin,bounced,52.5015821,13.411933
kreuzberg@pifflmedien.de,10997.0,Freiluftkino Kreuzberg,Berlin,active,52.5051111,13.419415
team@regenbogenkino.de,10999.0,Regenbogen Kino,Berlin,active,52.4955971,13.4242346
kino@wolfberlin.org,12045.0,Wolf Kino Berlin,Berlin,active,52.4827389,13.4392578
contact@ilkino.de,12047.0,IL KINO,Berlin,active,52.4915863,13.4304603
cineplex.berlin@cineplex.de,12161.0,Cinema am Walther-Schreiber-Platz,Berlin,bounced,52.4669515,13.3260979
info@dispothek.net,12249.0,Thalia,Berlin,active,52.4669443,13.2873821
gropiuspassagen@uci-kinowelt.de,12351.0,UCI Luxe Gropius Passagen,Berlin,active,52.4296553,13.4527918
berlintreptow@cinestar.de,12435.0,CineStar - Der Filmpalast,Berlin,active,52.4917393,13.4558135
info@lohmuehle-berlin.de,12435.0,,,deleted (unsubscribed),52.4917393,13.4558135
info@fez-berlin.de,12459.0,FeZ Berlin,Berlin,active,52.4852967,13.4458166
info@kino-spreehoefe.de,12459.0,Kino Spreehöfe,Berlin,active,52.4621161,13.5096243
info@astra-filmpalast.de,12487.0,Astra-Filmpalast,Berlin,active,52.4465538,13.504469
casablanca-berlin@gmx.de,12489.0,Casablanca,Berlin,active,52.4358161,13.5452913
dani@das-autokino.de,12529.0,Autokino Berlin - am Großflughafen BER,Berlin,bounced,52.364556,13.5049605
info@kino-union.de,12587.0,Freiluftkino Friedrichshagen,Berlin,active,52.4594761,13.6210742
berlinhellersdorf@cinestar.de,12627.0,CineStar - Der Filmpalast Berlin-Hellersdorf,Berlin,active,52.5379491,13.6014926
info@kiste.net,12627.0,Kino Kiste,Berlin,active,52.5379491,13.6014926
ameastgate@uci-kinowelt.de,12681.0,UCI am Eastgate,Berlin,active,52.5418335,13.5395654
berlin@cinemotion-kino.de,13051.0,CineMotion - Berlin-Hohenschönhausen,Berlin,active,52.5659708,13.5066669
info@brotfabrik-berlin.de,13086.0,Kino in der Brotfabrik,Berlin,bounced,52.5525733,13.4279079
info@freilichtbuehne-weissensee.de,13086.0,Freilichtbühne am Weißen See,Berlin,active,52.5560476,13.4607132
kontakt@kino-toni.de,13086.0,Kino Toni und Tonino,Berlin,active,52.5488637,13.4482813
blauerstern@t-online.de,13156.0,Blauer Stern,Berlin,active,52.5804065,13.398816
info@nomadenkino.de,13347.0,Nomadenkino Open Air im Stadtbad,Berlin,bounced,52.5803777,13.3188134
info@citykinowedding.de,13349.0,City Kino Wedding,Berlin,active,52.5803777,13.3188134
rehberge@pifflmedien.de,13351.0,Freiluftkino Rehberge,Berlin,active,52.5549314,13.3276555
info@berliner-autokino.de,13405.0,Bärliner Autokino,Berlin,bounced,52.550239,13.3047453
berlintegel@cinestar.de,13507.0,CineStar - Der Filmpalast,Berlin,active,52.5839152,13.2835613
mikropolis-film@email.de,13597.0,OpenAirKino Spandau,Berlin,active,52.5364125,13.1989293
gammert@balikino-berlin.de,14169.0,Bali-Kino,Berlin,active,52.431831,13.2570427
info@filmmuseum-potsdam.de,14467.0,Filmmuseum Potsdam,Potsdam,active,52.3952574,13.0552075
kontakt@theaterschiff-potsdam.com,14467.0,Kino im Kahn,Potsdam,bounced,52.3952569,13.0474559
steinhauer@cinemarstall.de,14467.0,Open Air Kinosommer im Waschhaus,Potsdam,active,52.3952569,13.0474559
info@alexandrowka.de,14469.0,Freilichtkino in der Russischen Kolonie,Potsdam,active,52.4028977,13.0532188
potsdam@uci-kinowelt.de,14473.0,UCI Luxe Potsdam,Potsdam,active,52.4028977,13.0532188
chris.niewald@thalia-potsdam.de,14482.0,Thalia Programm Kino,Potsdam,active,52.3919387,13.0927077
info@neuekammerspiele.de,14532.0,Kammerspiele,Kleinmachnow,active,52.4175766,13.2237622
info@scala-werder.de,14542.0,Scala-Kino,Werder,active,52.3819461,12.9304048
info@kulturzentrum-rathenow.de,14712.0,Kulturzentrum Rathenow,Rathenow,active,52.6060184,12.3396668
mail@haveltorkino.de,14712.0,Haveltorkino,Rathenow,bounced,52.6086321,12.3264826
info@event-theater.de,14770.0,event-theater,Brandenburg,active,52.4120222,12.553205
brandenburg@cinemotion-kino.de,14776.0,CineMotion - Concerthaus-Kinos Brandenburg,Brandenburg,active,52.4120222,12.553205
frankfurtoder@cinestar.de,15230.0,CineStar - Der Filmpalast,Frankfurt an der Oder,active,52.3435965,14.5507935
info@altes-kino-letschin.de,15324.0,Haus Lichtblick,Letschin,active,52.6445182,14.3567708
info@parklichtspiele.de,15377.0,Saal  1...,Buckow,active,52.5699532,14.0681876
info@filmtheater-union.de,15517.0,Union,Fürstenwalde an der Spree,active,52.3635222,14.0368041
info@kino-movieland.de,15537.0,Movieland,Erkner,active,52.4221217,13.7509667
kontakt@capitol-kw.de,15711.0,Capitol,Königs Wusterhausen,active,52.2967653,13.6273401
berlinwildau@cinestar.de,15745.0,CineStar - Der Filmpalast Wildau,Wildau,active,52.3142723,13.6011017
info@schukurama.de,15848.0,Kino Schukurama,Beeskow,active,52.1757151,14.2463902
eisenhuettenstadt@filmpalast-kino.de,15890.0,Filmpalast Eisenhüttenstadt,Eisenhüttenstadt,bounced,52.1521737,14.6314746
info@spreewald-lichtspiele.de,15907.0,Spreewald Lichtspiele,Lübben im Spreewald,active,51.9426144,13.8918631
tomstar-nr1@web.de,15936.0,Kino-Cafe Dahme,Dahme,active,51.8685112,13.4262229
info@moviemagic-eberswalde.de,16225.0,Movie Magic,Eberswalde-Finow,bounced,52.8363629,13.7844769
filmforum@twschwedt.de,16303.0,Filmforum Schwedt,Schwedt,active,53.0688241,14.262984
info@filmpalast-bernau.de,16321.0,Filmpalast Bernau,Bernau,active,52.6761788,13.593216
oranienburg@cinemotion-kino.de,16515.0,CineMotion - Filmpalast Oranienburg,Oranienburg,active,52.75,13.2349197
neuruppin@cinemotion-kino.de,16816.0,CineMotion - Union Filmtheater Neuruppin,Neuruppin,active,52.9186257,12.7840504
neumann555@aol.com,16831.0,Autokino Zempow,Rheinsberg,active,53.2079947,12.745588
lindenkino@freenet.de,16868.0,Linden-Kino,Wusterhausen,active,52.8899403,12.4589664
info@kino-astoria.de,16909.0,Kino Astoria Wittstock,Wittstock,active,53.1627076,12.4839532
info@kulturhaus-pritzwalk.de,16928.0,Kino im Kulturhaus,Pritzwalk,active,53.1530207,12.1696537
neubrandenburg@cinestar.de,17033.0,CineStar - Der Filmpalast,Neubrandenburg,active,53.5579449,13.2648718
verein@latuecht.de,17033.0,Latücht - Kommunales Kino,Neubrandenburg,active,53.5579449,13.2648718
info@cineweb.de,17109.0,Filmeck Demmin,Demmin,bounced,53.9060264,13.043846
info@wobau-demmin.de,17109.0,Waldbühne Demmin,Demmin,active,53.9060264,13.043846
waren@cinestar.de,17192.0,CineStar - Der Filmpalast,Waren an der Müritz,active,53.5188484,12.6788781
info@wobau-malchow.de,17213.0,Kino Malchow,Malchow,active,53.4705043,12.4058835
info@basiskulturfabrik.de,17235.0,fabrik,Neustrelitz,active,53.3676359,13.0557176
neustrelitz@moviestar-net.de,17235.0,Movie Star,Neustrelitz,active,53.350356,13.0738655
kontakt@kinowesenberg.de,17255.0,Kino Wesenberg,Wesenberg,active,53.2837432,12.9639237
info@juriclub.de,17258.0,Clubkino,Feldberger Seenlandschaft,active,53.3421957,13.4427167
info@mkc-templin.de,17268.0,Kino im Multikulturellen Centrum,Templin,active,53.1218362,13.5050243
kino@lychen.de,17279.0,Altes Kino Lychen,Lychen,bounced,53.2095298,13.3127149
prenzlau@cinemotion-kino.de,17291.0,CineMotion - Union Filmtheater Prenzlau,Prenzlau,active,53.3153698,13.8568976
a.kuhn@kino-ueckermuende.de,17373.0,Volksbühne Ueckermünde,Ueckermünde,active,53.7385207,14.0420461
info@kino-anklam.de,17389.0,Kino-Center Anklam,Anklam,active,53.8584671,13.6922259
mail@club-kino.de,17459.0,Autokino Usedom,Koserow,active,54.0632133,13.9795974
greifswald@cinestar.de,17489.0,CineStar - Der Filmpalast,Greifswald,active,54.0973327,13.373018
capitol-rostock@cinestar.de,18055.0,CineStar Capitol Filmpalast,Rostock,active,54.0889283,12.131971
mail@liwu.de,18057.0,Lichtspieltheater Wundervoll Metropol,Rostock,active,54.0889283,12.131971
rostockcs@cinestar.de,18107.0,CineStar - Der Filmpalast,Rostock,active,54.1389816,12.0542358
info@ostsee-welten.de,18119.0,Ostsee-Welten 5D,Rostock,active,54.1748475,11.9857936
info@kino-doberan.de,18209.0,Kamp-Theater,Bad Doberan,active,54.1070252,11.9003362
peer.kretzschmar@t-online.de,18225.0,Strandkorb-Kino am Bootshafen,Kühlungsborn,active,54.1070252,11.9003362
